COUNTRY_NAME,YEAR_OF_MATCH,HOME_TEAM_GOAL,AWAY_TEAM_GOAL
Belgium,2008,1,1
Belgium,2008,0,0
Belgium,2008,0,3
Belgium,2008,5,0
Belgium,2008,1,3
Belgium,2008,1,1
Belgium,2008,2,2
Belgium,2008,1,2
Belgium,2008,1,0
Belgium,2008,4,1
Belgium,2008,1,2
Belgium,2008,0,2
Belgium,2008,0,0
Belgium,2008,2,2
Belgium,2008,1,2
Belgium,2008,0,1
Belgium,2008,1,3
Belgium,2008,1,3
Belgium,2008,2,3
Belgium,2008,0,0
Belgium,2008,2,2
Belgium,2008,2,0
Belgium,2008,1,1
Belgium,2008,1,2
Belgium,2008,0,0
Belgium,2008,1,0
Belgium,2008,1,3
Belgium,2008,1,1
Belgium,2008,1,1
Belgium,2008,2,2
Belgium,2008,1,1
Belgium,2008,1,0
Belgium,2008,0,0
Belgium,2008,2,1
Belgium,2008,3,0
Belgium,2008,3,2
Belgium,2008,2,0
Belgium,2008,3,1
Belgium,2008,1,2
Belgium,2008,3,2
Belgium,2008,2,1
Belgium,2008,2,3
Belgium,2008,2,2
Belgium,2008,1,0
Belgium,2008,0,2
Belgium,2008,3,0
Belgium,2008,3,2
Belgium,2008,4,2
Belgium,2008,4,0
Belgium,2008,0,2
Belgium,2008,0,0
Belgium,2008,2,0
Belgium,2008,3,3
Belgium,2008,2,1
Belgium,2008,5,1
Belgium,2008,1,2
Belgium,2008,5,2
Belgium,2008,1,2
Belgium,2008,3,1
Belgium,2008,2,0
Belgium,2008,1,0
Belgium,2008,3,1
Belgium,2008,3,0
Belgium,2008,1,4
Belgium,2008,1,0
Belgium,2008,2,1
Belgium,2008,1,1
Belgium,2008,1,1
Belgium,2008,2,1
Belgium,2008,0,3
Belgium,2008,2,1
Belgium,2008,1,2
Belgium,2008,2,0
Belgium,2008,2,1
Belgium,2008,2,2
Belgium,2008,2,0
Belgium,2008,4,3
Belgium,2008,2,2
Belgium,2008,5,1
Belgium,2008,0,0
Belgium,2008,2,0
Belgium,2009,4,1
Belgium,2009,2,1
Belgium,2009,1,2
Belgium,2009,1,2
Belgium,2009,3,2
Belgium,2009,3,0
Belgium,2009,2,1
Belgium,2009,1,1
Belgium,2009,1,2
Belgium,2009,3,1
Belgium,2009,1,2
Belgium,2009,0,1
Belgium,2009,2,0
Belgium,2009,3,1
Belgium,2009,2,1
Belgium,2009,2,2
Belgium,2009,0,1
Belgium,2009,0,1
Belgium,2008,2,0
Belgium,2008,2,2
Belgium,2008,3,0
Belgium,2008,3,1
Belgium,2008,1,0
Belgium,2008,4,1
Belgium,2008,3,1
Belgium,2008,2,1
Belgium,2008,1,1
Belgium,2009,1,3
Belgium,2009,1,2
Belgium,2009,1,1
Belgium,2009,2,5
Belgium,2009,0,2
Belgium,2009,1,1
Belgium,2009,3,0
Belgium,2009,3,1
Belgium,2009,2,1
Belgium,2009,0,2
Belgium,2009,0,2
Belgium,2009,3,2
Belgium,2009,1,2
Belgium,2009,2,2
Belgium,2009,1,0
Belgium,2009,1,5
Belgium,2009,2,0
Belgium,2009,2,2
Belgium,2009,0,1
Belgium,2009,0,2
Belgium,2009,1,1
Belgium,2009,3,3
Belgium,2009,1,0
Belgium,2009,2,1
Belgium,2009,1,1
Belgium,2009,4,0
Belgium,2009,0,0
Belgium,2009,1,1
Belgium,2009,4,2
Belgium,2009,3,2
Belgium,2009,0,6
Belgium,2009,1,1
Belgium,2009,0,0
Belgium,2009,1,2
Belgium,2009,1,1
Belgium,2009,1,3
Belgium,2009,1,1
Belgium,2009,2,1
Belgium,2009,3,0
Belgium,2009,4,0
Belgium,2009,0,1
Belgium,2009,2,1
Belgium,2009,3,0
Belgium,2009,4,0
Belgium,2009,1,1
Belgium,2009,1,3
Belgium,2009,0,1
Belgium,2009,2,0
Belgium,2009,2,3
Belgium,2009,4,3
Belgium,2009,0,1
Belgium,2009,2,0
Belgium,2009,2,0
Belgium,2009,0,0
Belgium,2009,2,1
Belgium,2009,2,0
Belgium,2009,2,0
Belgium,2009,0,0
Belgium,2009,1,0
Belgium,2009,1,4
Belgium,2009,0,0
Belgium,2009,1,0
Belgium,2009,1,2
Belgium,2009,2,3
Belgium,2009,1,0
Belgium,2009,1,0
Belgium,2009,0,2
Belgium,2009,3,1
Belgium,2009,1,0
Belgium,2009,0,1
Belgium,2009,3,0
Belgium,2009,2,0
Belgium,2009,0,0
Belgium,2009,3,2
Belgium,2009,2,1
Belgium,2009,3,1
Belgium,2009,1,1
Belgium,2009,0,1
Belgium,2009,1,1
Belgium,2009,1,4
Belgium,2009,3,1
Belgium,2009,1,0
Belgium,2009,1,0
Belgium,2009,1,2
Belgium,2009,1,0
Belgium,2009,1,2
Belgium,2009,0,1
Belgium,2009,1,0
Belgium,2009,4,1
Belgium,2009,2,0
Belgium,2008,4,0
Belgium,2008,1,0
Belgium,2008,2,1
Belgium,2008,2,0
Belgium,2008,1,2
Belgium,2008,0,2
Belgium,2008,1,1
Belgium,2008,1,4
Belgium,2008,1,0
Belgium,2009,0,1
Belgium,2009,0,3
Belgium,2009,3,2
Belgium,2009,3,1
Belgium,2009,0,1
Belgium,2009,2,2
Belgium,2009,3,1
Belgium,2009,5,1
Belgium,2009,1,0
Belgium,2009,2,0
Belgium,2009,1,2
Belgium,2009,1,0
Belgium,2009,1,3
Belgium,2009,4,0
Belgium,2009,4,1
Belgium,2009,3,0
Belgium,2009,2,2
Belgium,2009,0,2
Belgium,2009,1,1
Belgium,2009,0,0
Belgium,2009,0,0
Belgium,2009,2,1
Belgium,2009,2,1
Belgium,2009,2,3
Belgium,2009,1,0
Belgium,2009,0,1
Belgium,2009,3,1
Belgium,2009,2,0
Belgium,2009,3,0
Belgium,2009,0,2
Belgium,2009,0,2
Belgium,2009,0,2
Belgium,2009,3,1
Belgium,2009,3,1
Belgium,2009,1,1
Belgium,2009,2,1
Belgium,2009,0,2
Belgium,2009,0,1
Belgium,2009,3,0
Belgium,2009,1,2
Belgium,2009,1,2
Belgium,2009,3,0
Belgium,2009,4,1
Belgium,2009,1,3
Belgium,2009,1,0
Belgium,2008,1,1
Belgium,2008,2,0
Belgium,2008,1,2
Belgium,2008,1,3
Belgium,2008,3,2
Belgium,2008,1,1
Belgium,2008,0,0
Belgium,2008,4,2
Belgium,2008,3,0
Belgium,2008,2,0
Belgium,2008,0,1
Belgium,2008,1,0
Belgium,2008,1,2
Belgium,2008,2,0
Belgium,2008,0,1
Belgium,2008,1,0
Belgium,2008,0,1
Belgium,2008,0,0
Belgium,2008,2,0
Belgium,2008,2,1
Belgium,2008,2,0
Belgium,2008,1,0
Belgium,2008,1,2
Belgium,2008,1,1
Belgium,2008,4,1
Belgium,2008,1,2
Belgium,2008,2,2
Belgium,2008,2,1
Belgium,2008,2,1
Belgium,2008,1,1
Belgium,2008,4,1
Belgium,2008,1,1
Belgium,2008,0,1
Belgium,2008,0,0
Belgium,2008,2,1
Belgium,2008,3,2
Belgium,2008,3,1
Belgium,2008,2,1
Belgium,2008,4,0
Belgium,2008,2,0
Belgium,2008,2,4
Belgium,2008,1,3
Belgium,2008,2,0
Belgium,2008,0,1
Belgium,2008,1,2
Belgium,2008,7,1
Belgium,2008,0,0
Belgium,2008,0,0
Belgium,2008,1,1
Belgium,2008,1,2
Belgium,2008,3,0
Belgium,2008,0,3
Belgium,2008,2,2
Belgium,2008,4,1
Belgium,2009,2,2
Belgium,2009,1,2
Belgium,2009,1,3
Belgium,2009,1,1
Belgium,2009,0,2
Belgium,2009,4,1
Belgium,2009,1,1
Belgium,2009,4,2
Belgium,2009,1,0
Belgium,2009,1,2
Belgium,2009,3,3
Belgium,2009,2,0
Belgium,2009,3,2
Belgium,2009,3,1
Belgium,2009,1,0
Belgium,2009,2,0
Belgium,2009,1,2
Belgium,2009,4,0
Belgium,2009,1,1
Belgium,2009,2,0
Belgium,2009,2,0
Belgium,2009,1,1
Belgium,2009,1,2
Belgium,2009,1,1
Belgium,2009,1,1
Belgium,2009,0,2
Belgium,2009,0,2
Belgium,2009,2,3
Belgium,2009,1,0
Belgium,2009,2,0
Belgium,2009,2,0
Belgium,2009,2,2
Belgium,2009,0,1
Belgium,2009,2,0
