SEASON,HOME_TEAM_GOAL,AWAY_TEAM_GOAL,LEAGUE_NAME,MATCH_API_ID
2008/2009,1,1,Belgium Jupiler League,492473
2008/2009,0,0,Belgium Jupiler League,492474
2008/2009,0,3,Belgium Jupiler League,492475
2008/2009,5,0,Belgium Jupiler League,492476
2008/2009,1,3,Belgium Jupiler League,492477
2008/2009,1,1,Belgium Jupiler League,492478
2008/2009,2,2,Belgium Jupiler League,492479
2008/2009,1,2,Belgium Jupiler League,492480
2008/2009,1,0,Belgium Jupiler League,492481
2008/2009,4,1,Belgium Jupiler League,492564
2008/2009,1,2,Belgium Jupiler League,492565
2008/2009,0,2,Belgium Jupiler League,492566
2008/2009,0,0,Belgium Jupiler League,492567
2008/2009,2,2,Belgium Jupiler League,492568
2008/2009,1,2,Belgium Jupiler League,492569
2008/2009,0,1,Belgium Jupiler League,492570
2008/2009,1,3,Belgium Jupiler League,492571
2008/2009,1,3,Belgium Jupiler League,492572
2008/2009,2,3,Belgium Jupiler League,492573
2008/2009,0,0,Belgium Jupiler League,492574
2008/2009,2,2,Belgium Jupiler League,492575
2008/2009,2,0,Belgium Jupiler League,492576
2008/2009,1,1,Belgium Jupiler League,492577
2008/2009,1,2,Belgium Jupiler League,492578
2008/2009,0,0,Belgium Jupiler League,492579
2008/2009,1,0,Belgium Jupiler League,492580
2008/2009,1,3,Belgium Jupiler League,492581
2008/2009,1,1,Belgium Jupiler League,492582
2008/2009,1,1,Belgium Jupiler League,492583
2008/2009,2,2,Belgium Jupiler League,492584
2008/2009,1,1,Belgium Jupiler League,492585
2008/2009,1,0,Belgium Jupiler League,492586
2008/2009,0,0,Belgium Jupiler League,492587
2008/2009,2,1,Belgium Jupiler League,492588
2008/2009,3,0,Belgium Jupiler League,492589
2008/2009,3,2,Belgium Jupiler League,492590
2008/2009,2,0,Belgium Jupiler League,492591
2008/2009,3,1,Belgium Jupiler League,492592
2008/2009,1,2,Belgium Jupiler League,492622
2008/2009,3,2,Belgium Jupiler League,492623
2008/2009,2,1,Belgium Jupiler League,492624
2008/2009,2,3,Belgium Jupiler League,492628
2008/2009,2,2,Belgium Jupiler League,492631
2008/2009,1,0,Belgium Jupiler League,492636
2008/2009,0,2,Belgium Jupiler League,492638
2008/2009,3,0,Belgium Jupiler League,492649
2008/2009,3,2,Belgium Jupiler League,492651
2008/2009,4,2,Belgium Jupiler League,492658
2008/2009,4,0,Belgium Jupiler League,492662
2008/2009,0,2,Belgium Jupiler League,492664
2008/2009,0,0,Belgium Jupiler League,492666
2008/2009,2,0,Belgium Jupiler League,492670
2008/2009,3,3,Belgium Jupiler League,492674
2008/2009,2,1,Belgium Jupiler League,492677
2008/2009,5,1,Belgium Jupiler League,492683
2008/2009,1,2,Belgium Jupiler League,492686
2008/2009,5,2,Belgium Jupiler League,492689
2008/2009,1,2,Belgium Jupiler League,492692
2008/2009,3,1,Belgium Jupiler League,492693
2008/2009,2,0,Belgium Jupiler League,492696
2008/2009,1,0,Belgium Jupiler League,492699
2008/2009,3,1,Belgium Jupiler League,492702
2008/2009,3,0,Belgium Jupiler League,492706
2008/2009,1,4,Belgium Jupiler League,492709
2008/2009,1,0,Belgium Jupiler League,492713
2008/2009,2,1,Belgium Jupiler League,492717
2008/2009,1,1,Belgium Jupiler League,492720
2008/2009,1,1,Belgium Jupiler League,492722
2008/2009,2,1,Belgium Jupiler League,492724
2008/2009,0,3,Belgium Jupiler League,492728
2008/2009,2,1,Belgium Jupiler League,492734
2008/2009,1,2,Belgium Jupiler League,492735
2008/2009,2,0,Belgium Jupiler League,492742
2008/2009,2,1,Belgium Jupiler League,492745
2008/2009,2,2,Belgium Jupiler League,492746
2008/2009,2,0,Belgium Jupiler League,492749
2008/2009,4,3,Belgium Jupiler League,492753
2008/2009,2,2,Belgium Jupiler League,492757
2008/2009,5,1,Belgium Jupiler League,492758
2008/2009,0,0,Belgium Jupiler League,492760
2008/2009,2,0,Belgium Jupiler League,492763
2008/2009,4,1,Belgium Jupiler League,492769
2008/2009,2,1,Belgium Jupiler League,492772
2008/2009,1,2,Belgium Jupiler League,492775
2008/2009,1,2,Belgium Jupiler League,492779
2008/2009,3,2,Belgium Jupiler League,492781
2008/2009,3,0,Belgium Jupiler League,492782
2008/2009,2,1,Belgium Jupiler League,492785
2008/2009,1,1,Belgium Jupiler League,492789
2008/2009,1,2,Belgium Jupiler League,492792
2008/2009,3,1,Belgium Jupiler League,492798
2008/2009,1,2,Belgium Jupiler League,492801
2008/2009,0,1,Belgium Jupiler League,492804
2008/2009,2,0,Belgium Jupiler League,492805
2008/2009,3,1,Belgium Jupiler League,492807
2008/2009,2,1,Belgium Jupiler League,492810
2008/2009,2,2,Belgium Jupiler League,492814
2008/2009,0,1,Belgium Jupiler League,492817
2008/2009,0,1,Belgium Jupiler League,492819
2008/2009,2,0,Belgium Jupiler League,492482
2008/2009,2,2,Belgium Jupiler League,492483
