PLAYER_CODE,PLAYER_NAME,TOTAL_PENALTIES,AVERAGE_OVERALL_RATING
2625,"Patryk Rachwal,18",867,60.1428571428571
2752,Diego Mainz,744,69.3809523809524
2768,Jose Dorado,670,69.2857142857143
2770,Ignacio Gonzalez,959,71.1333333333333
2790,Alberto Rey,277,70.2
2796,Javier Jimenez,323,64.6
2802,Pablo Hernandez,1570,76.3181818181818
2805,Ruben Perez,1459,72.5357142857143
2857,Ivan Perez,936,65.1875
2862,Vicente Sanchez,2484,72.9117647058824
2907,Gregory Lacombe,531,63.3
2973,Ugur Inceman,1017,68.7777777777778
2977,David Rivas Rodriguez,306,70.5
2983,Jorge Molina,1487,72.05
2984,Sergio Aragones,444,68.5
3140,Alexandre Hauw,421,65.8571428571429
3204,Marat Izmailov,2081,77.5172413793104
3263,Kelly Berville,162,59.6666666666667
3264,Abdelmalek Cherrad,289,61.6
3316,Oscar Sanchez,727,66.7692307692308
3329,Vincent Euvrard,272,63.2
3377,Luca Belingheri,1827,66.5151515151515
3441,Aleksander Radosavljevic,648,66.6428571428571
3512,Peter Halmosi,909,69.8461538461538
3517,Alexandr Kerzhakov,1688,78.8571428571429
3520,Andrey Arshavin,1781,79.68
4747,Lee Wilkie,276,69.4
4863,Boban Grncarov,128,65.25
4902,Iriney,1241,73.3181818181818
4939,Tim Clancy,573,59.7727272727273
4999,Sebastian Olszar,417,57.25
5016,Ibrahim Sidibe,429,64.7272727272727
5044,Jeroen Verhoeven,467,65.9230769230769
5047,Wilko de Vogt,213,61.0
5063,Sander Duits,989,66.5714285714286
5184,Gudmundur Steinarsson,84,62.0
5192,Manuel Silas,267,71.0
5202,Remy Gomis,1246,68.76
5217,Laurent Batlles,514,72.625
5223,Raffaele Rubino,660,61.6363636363636
5233,Iban Javier Cuadrado,343,68.3333333333333
5243,Julio Alvarez,1967,69.9615384615385
5247,Perez Richi,397,65.3333333333333
5272,Gary Coulibaly,1190,64.3809523809524
5362,"Ifet Taljevic,23",162,60.0
5440,Marjan Petkovic,372,65.8333333333333
5468,Freddy Mombongo-Dues,248,61.25
5610,Yann Jouffre,1343,72.2631578947368
5629,Bertrand Robert,345,67.6
5631,Jeremy Blayac,807,65.4285714285714
5662,Dimitri Bulykin,1039,68.375
5686,Gerry Koning,328,64.0
5687,Rowin van Zaanen,395,65.6
5693,Kees Kwakman,895,66.7333333333333
5700,Charles Dissels,316,64.3333333333333
5703,Otman Bakkal,1012,71.0666666666667
5710,Diederik Boer,587,68.0
6757,Denis Dessaer,180,60.0
6771,Oliver Vinamont,132,60.0
6798,Roel van Hemert,93,60.0
6800,Jonas Ivens,1173,65.3888888888889
6803,Brecht Verbrugghe,129,59.6666666666667
6824,Pedro Kamata,368,66.5714285714286
6853,Fabian Vargas,2210,69.625
6864,Santiago Acasiete,518,68.0
6911,Fabian Canobbio,375,75.6
7099,Toni Lehtinen,143,59.6666666666667
7206,Sebastian Sorsa,280,60.5
7226,Roni Porokara,524,64.3
7284,Kasper Haemaelaeinen,2178,67.6585365853659
7334,Anssi Jaakkola,252,55.4545454545455
7604,Tom van Hyfte,196,66.5
7616,Kristian Nushi,740,61.0
7621,Anthony Favre,325,57.6428571428571
7627,Thierno Bah,352,56.3333333333333
7628,Tibert Pont,383,55.0
7663,Jerome Schneider,494,51.7
7681,Josip Colina,369,58.3333333333333
7683,Alessandro Iandoli,472,64.0
8777,Michele Polverino,617,56.625
8780,Marco Perez,1854,67.6785714285714
8784,Stefan Nater,616,56.3636363636364
8800,Thomas Reinmann,1052,59.7894736842105
8837,Angelo Raso,209,51.8
8840,Cristian Florin Ianu,776,64.1538461538462
8881,Marco Padalino,1074,66.7777777777778
8893,Antoine Rey,423,59.1111111111111
8922,Nikica Jelavic,1879,73.76
8925,Ryan Thomson,116,52.0
8930,Hrvoje Cale,1128,67.1111111111111
8932,Dino Drpic,213,70.4
8985,Mile Jedinak,1558,70.4230769230769
9079,Mensur Mujdza,1443,71.2222222222222
9086,Ivica Vrdoljak,1662,67.9230769230769
9124,"Ivan Radeljic,18",189,67.0
9128,Tomislav Dujmovic,610,69.7
9144,Yasin Karaca,112,61.0
9149,Joost Volmer,144,64.6666666666667
9183,Janos Balogh,290,61.1111111111111
9203,Tibor Tisza,128,65.0
9213,Peter Czvitkovics,310,68.8
9307,Balazs Toth,446,65.0
9449,Oleksandr Shevelyukhin,769,64.6470588235294
10348,Alejandro Dominguez,1557,75.6666666666667
10404,Stanislav Vlcek,387,72.8333333333333
10474,Evaldas Razulis,201,62.0
10491,Diniyar Bilyaletdinov,1909,72.5384615384615
10637,Andris Vanins,614,69.3333333333333
10880,Robbie Haemhouts,569,63.5
10933,Robert Jez,1547,65.35
10950,Pavel Krmas,1133,68.12
10967,Petr Jiracek,1387,70.0833333333333
10984,Maros Klimpl,159,71.3333333333333
11024,Tomas Cerny,213,67.3636363636364
11027,Roman Hubnik,855,71.1538461538462
11038,Vojtech Schulmeister,324,59.4
11049,Matej Krajcik,365,67.1666666666667
11052,Michal Svec,569,65.5
11061,Csaba Horvath,730,62.8125
11242,Konstantin Engel,775,61.0
11263,Roman Prokoph,254,62.3333333333333
11285,Lucas,1193,69.5454545454546
11316,Jean-Louis Leca,421,64.2631578947368
11317,Florent Ghisolfi,540,58.9166666666667
11319,Benoit Costil,477,74.6
11320,Steeve Elana,422,71.4705882352941
11321,Vincent Plante,430,69.0833333333333
11323,Cedric Hengbart,1235,72.3888888888889
11324,Nicolas Seube,1055,69.6190476190476
11327,Anthony Deroin,593,68.3333333333333
11329,Reynald Lemaitre,838,68.4285714285714
11332,Yohann Eudeline,1448,65.24
11336,Rudy Riou,667,65.6315789473684
11349,Jose Gaspar,448,66.0
11357,Olafur Ingi Skulason,1457,65.4
11496,Wade Elliott,1620,67.0
11498,Stuart Nelson,591,62.2
11555,Fernando Soriano,1531,71.8695652173913
11569,Avi Strool,258,63.0
11576,Tamir Cohen,355,70.8333333333333
11671,Gael Genevier,877,64.9333333333333
